Location,Region,Age,Date,Number_fully,Number_fully_lower,Number_fully_upper,Proportion_fully,Proportion_fully_lower,Proportion_fully_upper,Number_partially,Number_partially_lower,Number_partially_upper,Proportion_partially,Proportion_partially_lower,Proportion_partially_upper,Number_unvacc,Number_unvacc_lower,Number_unvacc_upper,Proportion_unvacc,Proportion_unvacc_lower,Proportion_unvacc_upper
Canada,Ontario,40-49,2021-08-23,162.95190430869297,143.22533931573577,164.956775261885,0.40737976077173244,0.3580633482893394,0.41239193815471253,2.0048709531920395,0,23.902691298725685,0.005012177382980099,0,0.05975672824681421,35.043224738114986,32.871969385538556,37.21448009069142,0.08760806184528747,0.0821799234638464,0.09303620022672854
France,NA,NA,2021-08-23,55.63338226990311,55.169547589376435,56.09721695042978,0.13908345567475777,0.13792386897344108,0.14024304237607446,17.740711462451486,16.500879063176477,18.980543861726495,0.044351778656128715,0.04125219765794119,0.04745135965431624,26.625906267645405,25.849908548897073,27.401903986393737,0.06656476566911351,0.06462477137224268,0.06850475996598435
United States,NA,NA,2021-08-23,50.90311688311715,50.84324422515416,50.96298954108014,0.12725779220779287,0.1271081105628854,0.12740747385270035,9.426843591191414,9.269554141224589,9.584133041158239,0.023567108977978535,0.02317388535306147,0.0239603326028956,39.670039525691436,39.5726227336876,39.76745631769527,0.09917509881422859,0.098931556834219,0.09941864079423818
